"stage","band","difficulty","skill","section","question_type","level","skill_focus","task_design","scenario_family","target_count","topic_seed","generation_topic"
"Stage 01","5.0","5.0","LISTENING","Section 1","Form/Table Completion","foundation","specific factual details; names; numbers; spelling","form completion from a service enquiry","service booking","12","language centre course enquiry","[IELTS Listening][Stage 01][Band 5.0][Section 1][Focus: specific factual details; names; numbers; spelling][Task design: form completion from a service enquiry] language centre course enquiry"
"Stage 01","5.0","5.0","READING","Section 1","Multiple Choice","foundation","explicit evidence location and direct paraphrase","single-passage comprehension with concrete evidence","urban services","12","urban transport and daily routines","[IELTS Reading][Stage 01][Band 5.0][Section 1][Multiple Choice][Focus: explicit evidence location and direct paraphrase] urban transport and daily routines"
"Stage 02","5.0","5.0","LISTENING","Section 1","Form/Table Completion","foundation","dates; prices; short answers; corrected details","booking conversation with one mild correction","appointments","12","community centre booking","[IELTS Listening][Stage 02][Band 5.0][Section 1][Focus: dates; prices; short answers; corrected details][Task design: booking conversation with one mild correction] community centre booking"
"Stage 02","5.0","5.0","READING","Section 1","Matching Information","foundation","locating details across clear paragraphs","paragraph evidence matching with familiar vocabulary","public services","12","public library services and study habits","[IELTS Reading][Stage 02][Band 5.0][Section 1][Matching Information][Focus: locating details across clear paragraphs] public library services and study habits"
"Stage 03","5.5","5.5","LISTENING","Section 2","Map/Plan/Diagram Labelling","intermediate","location; route; facility information","orientation talk with route and facility details","campus orientation","12","museum visitor orientation","[IELTS Listening][Stage 03][Band 5.5][Section 2][Focus: location; route; facility information][Task design: orientation talk with route and facility details] museum visitor orientation"
"Stage 03","5.5","5.5","READING","Section 1","TFNG","intermediate","claim verification with simple not-given traps","true false not given based on concrete claims","education practice","12","how classroom routines affect learning","[IELTS Reading][Stage 03][Band 5.5][Section 1][TFNG][Focus: claim verification with simple not-given traps] how classroom routines affect learning"
"Stage 04","5.5","5.5","LISTENING","Section 2","Multiple Choice","intermediate","procedural sequence; public instructions","public announcement with service sequence and distractors","public facilities","12","sports centre facilities introduction","[IELTS Listening][Stage 04][Band 5.5][Section 2][Focus: procedural sequence; public instructions][Task design: public announcement with service sequence and distractors] sports centre facilities introduction"
"Stage 04","5.5","5.5","READING","Section 2","Matching Headings","intermediate","paragraph main ideas and heading discrimination","heading matching with clear paragraph functions","cultural heritage","12","protecting local cultural heritage","[IELTS Reading][Stage 04][Band 5.5][Section 2][Matching Headings][Focus: paragraph main ideas and heading discrimination] protecting local cultural heritage"
"Stage 05","6.0","6.0","LISTENING","Section 3","Opinion Matching","upper-intermediate","speaker opinions; agreement; decision reasons","student discussion with two viewpoints and a final decision","academic planning","12","students planning a fieldwork project","[IELTS Listening][Stage 05][Band 6.0][Section 3][Focus: speaker opinions; agreement; decision reasons][Task design: student discussion with two viewpoints and a final decision] students planning a fieldwork project"
"Stage 05","6.0","6.0","READING","Section 2","Summary Completion","upper-intermediate","summary logic; lexical cohesion; controlled paraphrase","word-bank summary based on a process passage","workplace learning","12","work-life balance in modern cities","[IELTS Reading][Stage 05][Band 6.0][Section 2][Summary Completion][Focus: summary logic; lexical cohesion; controlled paraphrase] work-life balance in modern cities"
"Stage 06","6.0","6.0","LISTENING","Section 3","Multiple Choice","upper-intermediate","evidence comparison; mild disagreement; self-correction","academic tutorial with evidence choices and corrected assumptions","research methods","12","students comparing survey methods","[IELTS Listening][Stage 06][Band 6.0][Section 3][Focus: evidence comparison; mild disagreement; self-correction][Task design: academic tutorial with evidence choices and corrected assumptions] students comparing survey methods"
"Stage 06","6.0","6.0","READING","Section 2","Multiple Choice","upper-intermediate","detail inference and moderate paraphrase","evidence-based multiple choice with plausible distractors","public health","12","public health communication during heatwaves","[IELTS Reading][Stage 06][Band 6.0][Section 2][Multiple Choice][Focus: detail inference and moderate paraphrase] public health communication during heatwaves"
"Stage 07","6.5","6.5","LISTENING","Section 4","Note/Summary Completion","upper-intermediate","lecture signposting; cause-effect links","short academic lecture with note completion","environment policy","13","lecture on urban trees and climate resilience","[IELTS Listening][Stage 07][Band 6.5][Section 4][Focus: lecture signposting; cause-effect links][Task design: short academic lecture with note completion] lecture on urban trees and climate resilience"
"Stage 07","6.5","6.5","READING","Section 2","TFNG","upper-intermediate","claim verification; implication; not-given traps","true false not given with moderate abstraction","renewable energy","13","renewable energy adoption in regional communities","[IELTS Reading][Stage 07][Band 6.5][Section 2][TFNG][Focus: claim verification; implication; not-given traps] renewable energy adoption in regional communities"
"Stage 08","6.5","6.5","LISTENING","Section 4","Note/Summary Completion","upper-intermediate","classification; sequence; compact academic vocabulary","structured monologue with numbered lecture stages","technology ethics","13","lecture on data privacy in public services","[IELTS Listening][Stage 08][Band 6.5][Section 4][Focus: classification; sequence; compact academic vocabulary][Task design: structured monologue with numbered lecture stages] lecture on data privacy in public services"
"Stage 08","6.5","6.5","READING","Section 3","Summary Completion","upper-intermediate","summary logic; referents; lexical chains","summary completion from research explanation","digital learning","13","online learning effectiveness and student autonomy","[IELTS Reading][Stage 08][Band 6.5][Section 3][Summary Completion][Focus: summary logic; referents; lexical chains] online learning effectiveness and student autonomy"
"Stage 09","7.0","7.0","LISTENING","Section 1","Form/Table Completion","advanced","dense factual details; delayed answers; corrections","transactional conversation with competing dates prices and spelling","complex booking","13","international conference registration","[IELTS Listening][Stage 09][Band 7.0][Section 1][Focus: dense factual details; delayed answers; corrections][Task design: transactional conversation with competing dates prices and spelling] international conference registration"
